RT,Taste,Category
3.39289899999858,right,unfamous
0.992219799998566,right,unfamous
0.782267599992338,right,unfamous
0.690291999999317,right,unfamous
0.6435988000012,left,famous
0.783935700004804,right,unfamous
0.621671500004595,left,famous
0.609916099987458,right,unfamous
0.651245899993228,right,unfamous
0.550836199996411,left,famous
0.620933500002138,left,famous
0.544121099999757,right,unfamous
0.792715000003227,left,famous
1.0662924000062,right,unfamous
0.796870500009391,left,famous
1.10635729999922,right,unfamous
0.750214499988942,right,unfamous
1.58150400000159,left,famous
1.19003509999311,left,famous
0.557568400006858,left,famous
0.694984400004614,right,unfamous
0.823961700007203,right,unfamous
1.0079803000117,left,famous
1.01859959999274,right,unfamous
0.622885299992049,left,famous
1.2662299000076,right,unfamous
0.90193239999644,right,unfamous
0.637814899993828,left,famous
1.06931099999929,right,unfamous
0.641740900013247,right,unfamous
0.587094700007583,left,famous
0.698936999993748,right,unfamous
1.44137689999479,right,unfamous
0.625619999991613,left,famous
0.728778400007286,left,famous
0.634945800004061,right,unfamous
1.06749850000779,right,unfamous
0.752605099987704,left,famous
0.667874799997662,left,famous
0.672967300008168,right,unfamous
0.688222199998563,right,unfamous
1.00550119999389,left,famous
1.21307339999476,right,unfamous
0.896597800005111,right,unfamous
1.16564690000087,left,famous
0.594766800000798,left,famous
0.794513000000734,right,unfamous
0.685568000000785,left,famous
1.51414099999238,right,unfamous
0.66251110000303,left,famous
